freqs,NH-mean,NH-std,HI,gain
250,58.717861311763,7.43838327796419,57.8045464772208,0.0000001
500,45.554198046307,8.4240673714432,47.1734890343861,1.61929098807916
1000,32.3408008899154,5.97274893313995,53.4739727965252,21.1331719066098
2000,28.0800127385574,4.41847043362963,62.9286521044867,34.8486393659293
4000,30.6058869996123,6.05867393704345,63.3045044472408,32.6986174476285
8000,47.2197347254779,4.513238889114,71.7891590508677,24.5694243253898
16000,43.6211909043233,6.44764545462357,68.1540186736578,24.5328277693345
